title,genre,directors,writers,actors,studio_name,tomato_rating,audience_rating,budget,genres
Bridge of Spies,"Drama, Mystery & Suspense",Steven Spielberg,"Matt Charman, Ethan Coen, Joel Coen, Matthew Charman",1392.0,257,91,87.0,40000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}]"
The Bridge on the River Kwai,"Action & Adventure, Classics, Drama",David Lean,"Michael Wilson, Carl Foreman",0,2,95,93.0,3000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]"
Bridge to Terabithia,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",Gabor Csupo,"Jeff Stockwell, David Paterson (IV), Katherine Paterson",486.0,5,85,70.0,60000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]"
A Bridge Too Far,"Action & Adventure, Drama","Sidney Hayers, Richard Attenborough",William Goldman,868.3333333333334,17,63,86.0,22000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]"
The Bridges of Madison County,"Drama, Romance",Clint Eastwood,Richard LaGravenese,765.0,119,90,87.0,24000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]"
Bridget Jones's Diary,"Comedy, Romance",Sharon Maguire,"Andrew Davies, Richard Curtis, Helen Fielding, Richard Davies",564.75,86,81,81.0,25000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]"
Bridget Jones: The Edge of Reason,"Comedy, Drama, Romance",Beeban Kidron,"Andrew Davies, Helen Fielding, Richard Curtis, Adam Brooks",564.75,86,27,60.0,50000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]"
Bright Star,"Drama, Romance",Jane Campion,Jane Campion,0,258,83,68.0,8500000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]"
Brighton Rock,"Drama, Mystery & Suspense",Rowan Joffe,Rowan Joffe,806.0,37,51,33.0,0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]"
Bring It On,Comedy,Peyton Reed,Jessica Bendinger,858.0,35,63,66.0,28000000,"[{""id"": 35, ""name"": ""Comedy""}]"
Bringing Down the House,Comedy,Adam Shankman,Jason Filardi,461.0,45,34,49.0,20000000,"[{""id"": 35, ""name"": ""Comedy""}]"
Bringing Out the Dead,"Drama, Mystery & Suspense",Martin Scorsese,Paul Schrader,647.0,20,72,70.0,32000000,"[{""id"": 18, ""name"": ""Drama""}]"
The Broadway Melody,"Musical & Performing Arts, Romance",Harry Beaumont,"James Gleason, Norman Houston, Sarah Y. Mason",0,11,35,21.0,379000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]"
Brokeback Mountain,"Drama, Romance",Ang Lee,"Larry McMurtry, Diana Ossana",772.2,50,87,82.0,14000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]"
Brokedown Palace,"Drama, Mystery & Suspense",Jonathan Kaplan,"David Arata, Adam Fields",871.6666666666666,67,31,66.0,25000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]"
Broken City,Drama,Allen Hughes,Brian Tucker,571.0,0,28,40.0,56000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]"
Broken Horses,"Action & Adventure, Drama",Vidhu Vinod Chopra,"Vidhu Vinod Chopra, Abhijat Joshi",624.3333333333334,259,25,44.0,0,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]"
Bronson,"Action & Adventure, Drama",Nicolas Winding Refn,"Nicolas Winding Refn, Brock Norman Brock",1279.0,6,76,74.0,230000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}]"
Brooklyn,Drama,John Crowley,Nick Hornby,509.0,89,97,87.0,11000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]"
Brooklyn Rules,"Comedy, Drama",Michael Corrente,Terence Winter,656.0,260,45,51.0,8000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]"
Brooklyn's Finest,"Action & Adventure, Drama",Antoine Fuqua,"Michael C. Martin, Brad Kane",672.3333333333334,177,44,46.0,17000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]"
The Brothers Bloom,"Action & Adventure, Comedy, Drama, Romance",Rian Johnson,Rian Johnson,962.0,9,68,64.0,20000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]"
The Brothers Grimm,"Action & Adventure, Comedy, Science Fiction & Fantasy",Terry Gilliam,Ehren Kruger,1237.6,86,38,39.0,88000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]"
The Brothers Solomon,Comedy,Bob Odenkirk,Will Forte,696.5,51,15,31.0,0,"[{""id"": 35, ""name"": ""Comedy""}]"
Brown Sugar,"Comedy, Drama, Romance",Rick Famuyiwa,"Michael Elliot, Rick Famuyiwa",0,197,66,90.0,8000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]"
Bruce Almighty,"Comedy, Science Fiction & Fantasy",Tom Shadyac,"Mark O'Keefe, Steve Koren, Steve Oedekerk",671.3333333333334,35,48,57.0,80000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}]"
Bubble Boy,Comedy,Blair Hayes,"Ken Daurio, Cinco Paul",846.0,45,30,48.0,0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]"
The Bucket List,"Action & Adventure, Comedy, Drama",Rob Reiner,Justin Zackham,632.5,8,41,77.0,45000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]"
Bucky Larson: Born to Be a Star,Comedy,Tom Brady,"Adam Sandler, Allen Covert, Nick Swardson",460.0,13,0,24.0,10000000,"[{""id"": 35, ""name"": ""Comedy""}]"
Buffalo '66,"Art House & International, Comedy, Drama",Vincent Gallo,"Vincent Gallo, Alison Bagnall",570.6666666666666,261,76,88.0,1500000,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]"
Buffalo Soldiers,"Comedy, Drama, Mystery & Suspense",Gregor Jordan,"Eric Axel Weiss, Gregor Jordan, Nora Maccoby, Eric Weiss",541.0,86,73,72.0,15000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10752, ""name"": ""War""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]"
A Bug's Life,"Animation, Kids & Family, Science Fiction & Fantasy","John Lasseter, Andrew Stanton","Andrew Stanton, Don McEnery, Bob Shaw, Donald McEnery",598.0,19,92,72.0,120000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]"
Bullet to the Head,"Action & Adventure, Mystery & Suspense",Walter Hill,"Walter Hill, Alessandro Camon",892.0,8,46,39.0,55000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]"
Bulletproof Monk,"Action & Adventure, Comedy",Paul Hunter,"Ethan Reiff, Cyrus Voris",0,107,23,38.0,52000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}]"
Bully,"Art House & International, Drama",Larry Clark,"Zachary Long, Roger Pullis",0,146,54,69.0,0,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]"
Bully,"Documentary, Special Interest",Lee Hirsch,"Cynthia Lowen, Lee Hirsch",0,170,85,78.0,0,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]"
Bulworth,"Comedy, Drama, Romance",Warren Beatty,"Warren Beatty, Jeremy Pikser",586.0,0,76,68.0,30000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]"
Buried,Mystery & Suspense,Rodrigo Cortés,Chris Sparling,682.0,29,86,64.0,1987650,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]"
Burn,"Documentary, Special Interest","Brenna Sanchez, Tom Putnam","Brenna Sanchez, Tom Putnam",0,262,100,91.0,225000,"[{""id"": 10769, ""name"": ""Foreign""}, {""id"": 99, ""name"": ""Documentary""}]"
Burn,Mystery & Suspense,Mike Gan,Mike Gan,0,263,58,48.0,225000,"[{""id"": 10769, ""name"": ""Foreign""}, {""id"": 99, ""name"": ""Documentary""}]"
Burn After Reading,"Comedy, Drama","Joel Coen, Ethan Coen","Joel Coen, Ethan Coen",789.0,50,78,64.0,37000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]"
Burnt,Comedy,John Wells,"Steven Knight, Michael Kalesniko",522.0,15,28,44.0,20000000,"[{""id"": 18, ""name"": ""Drama""}]"
The Business of Strangers,Drama,Patrick Stettner,Patrick Stettner,734.0,37,80,51.0,0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]"
But I'm a Cheerleader,Comedy,Jamie Babbit,"Brian Wayne Peterson, Jamie Babbit",528.0,146,39,74.0,0,"[{""id"": 35, ""name"": ""Comedy""}]"
The Butterfly Effect,"Drama, Mystery & Suspense, Science Fiction & Fantasy","Eric Bress, J. Mackye Gruber","Eric Bress, J. Mackye Gruber",487.3333333333333,10,33,81.0,13000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]"
The Cable Guy,Comedy,Ben Stiller,"Lou Holtz Jr., Lou Holtz",794.0,21,53,51.0,47000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]"
Caddyshack,"Comedy, Special Interest",Harold Ramis,"Brian Doyle Murray, Brian Doyle-Murray, Harold Ramis, Douglas Kenney, Bill Murray, Dave Thomas",640.0,8,74,87.0,6000000,"[{""id"": 35, ""name"": ""Comedy""}]"
Cadillac Records,"Drama, Musical & Performing Arts",Darnell Martin,Darnell Martin,563.0,13,66,65.0,12000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10402, ""name"": ""Music""}]"
Can't Hardly Wait,Comedy,"Harry Elfont, Deborah Kaplan","Harry Elfont, Deborah Kaplan",585.3333333333334,2,40,63.0,10000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]"
Can't Stop the Music,"Cult Movies, Musical & Performing Arts",Nancy Walker,"Bronte Woodard, Allan Carr",0,264,7,38.0,0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}]"
Capitalism: A Love Story,"Documentary, Special Interest",Michael Moore,Michael Moore,0,177,75,74.0,20000000,"[{""id"": 99, ""name"": ""Documentary""}]"
Capricorn One,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Peter Hyams,Peter Hyams,0,8,62,58.0,5000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]"
Captain America: Civil War,"Action & Adventure, Science Fiction & Fantasy","Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely",994.6666666666666,26,91,89.0,250000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]"
Captain America: The First Avenger,"Action & Adventure, Mystery & Suspense",Joe Johnston,"Christopher Markus, Stephen McFeely",764.8571428571429,20,80,74.0,140000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]"
Captain America: The Winter Soldier,"Action & Adventure, Science Fiction & Fantasy","Joe Russo, Anthony Russo","Stephen McFeely, Christopher Markus",1025.4,26,90,92.0,170000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]"
Captain Corelli's Mandolin,"Drama, Romance",John Madden (II),Shawn Slovo,838.6666666666666,35,28,50.0,57000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}]"
Captain Phillips,Drama,Paul Greengrass,Billy Ray,1392.0,13,93,89.0,55000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]"
Captive,"Drama, Mystery & Suspense, Special Interest",Jerry Jameson,Brian Bird,585.0,20,27,43.0,2000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]"
Cargo,"Art House & International, Drama, Mystery & Suspense",Yan Vizinberg,"Yan Vizinberg, Lee Peterkin",0,265,67,33.0,0,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}]"
Cargo,"Drama, Mystery & Suspense","Yolanda Ramke, Ben Howling",Yolanda Ramke,0,243,88,66.0,0,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}]"
Carlos,"Art House & International, Classics, Drama, Television",Olivier Assayas,"Olivier Assayas, Dan Franck",0,37,93,85.0,18000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 36, ""name"": ""History""}]"
Carnage,"Comedy, Drama",Roman Polanski,"Roman Polanski, Yasmina Reza",574.6666666666666,1,71,66.0,25000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]"
Cars,"Action & Adventure, Animation, Comedy, Kids & Family","John Lasseter, Joe Ranft","John Lasseter, Dan Fogelman, Joe Ranft, Kiel Murray, Phil Lorin, Jorgen Klubien",856.6666666666666,5,75,79.0,120000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]"
Cars 2,"Action & Adventure, Animation, Comedy, Kids & Family","John Lasseter, Brad Lewis","John Lasseter, Dan Fogelman, Ben Queen",622.6666666666666,266,39,49.0,200000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]"
Case 39,"Horror, Mystery & Suspense",Christian Alvart,Ray Wright,477.0,76,21,39.0,27000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]"
Casino Jack,"Comedy, Drama, Mystery & Suspense",George Hickenlooper,Norman Snider,648.5,267,40,34.0,12500000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]"
Casper,"Drama, Kids & Family, Science Fiction & Fantasy",Brad Silberling,"Deanna Oliver, Sheri Stoner",650.5,35,46,49.0,50000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]"
Cast Away,"Action & Adventure, Drama",Robert Zemeckis,William Broyles,938.5,0,88,84.0,90000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}]"
Catch-22,"Classics, Comedy, Drama",Mike Nichols,Buck Henry,614.0,65,79,76.0,18000000,"[{""id"": 10752, ""name"": ""War""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]"
Catch a Fire,"Drama, Musical & Performing Arts, Mystery & Suspense",Phillip Noyce,Shawn Slovo,489.0,50,75,71.0,0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]"
Catch Me If You Can,"Action & Adventure, Drama",Steven Spielberg,Jeff Nathanson,834.4,87,95,89.0,52000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]"
Catch That Kid,"Action & Adventure, Kids & Family",Bart Freundlich,"Michael Brandt, Derek Haas",842.0,0,13,47.0,18000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]"
Cats & Dogs,"Action & Adventure, Comedy, Kids & Family, Romance",Lawrence Guterman,"John Requa, Glenn Ficarra",532.75,8,53,32.0,60000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]"
Cats Don't Dance,"Animation, Kids & Family",Mark Dindal,"Theresa Pettengill, Cliff Ruby, Roberts Gannaway, Elana Lesser",0,8,74,80.0,32000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}]"
Catwoman,"Action & Adventure, Drama","Pitof, Jean-Christopher Comar","John Rogers, John Brancato, Michael Ferris",758.0,8,9,18.0,100000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}]"
The Cave,"Action & Adventure, Horror, Science Fiction & Fantasy",Bruce Hunt,"Michael Steinberg, Tegan West",659.0,51,12,28.0,30000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]"
Cecil B. Demented,Comedy,John Waters,John Waters,901.0,117,53,67.0,10000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]"
Cedar Rapids,Comedy,Miguel Arteta,"Phil Johnson, Phil Johnston",701.5,89,86,59.0,0,"[{""id"": 35, ""name"": ""Comedy""}]"
Cellular,"Action & Adventure, Mystery & Suspense",David R. Ellis,"Chris Morgan, Larry Cohen, Eric Bress",1092.0,10,55,59.0,25000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]"
Center Stage,"Drama, Musical & Performing Arts",Nicholas Hytner,Carol Heikkinen,846.0,2,42,82.0,18000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]"
Central Intelligence,"Action & Adventure, Comedy",Rawson Marshall Thurber,"Ike Barinholtz, David Stassen, Rawson Marshall Thurber",768.5,8,71,61.0,50000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]"
Centurion,"Action & Adventure, Drama, Mystery & Suspense",Neil Marshall,Neil Marshall,754.5,6,61,43.0,12000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}]"
Chain Letter,"Horror, Mystery & Suspense",Deon Taylor,"Michael J. Pagan, Diana Erwin, Deon Taylor",0,230,29,46.0,0,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]"
Chairman of the Board,Comedy,Alex Zamm,"Turi Meyer, Alex Zamm, Al Septien",523.0,122,13,20.0,0,"[{""id"": 35, ""name"": ""Comedy""}]"
Changing Lanes,"Action & Adventure, Drama, Mystery & Suspense",Roger Michell,"Chap Taylor, Michael Tolkin",664.25,20,77,53.0,45000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]"
Chappie,Action & Adventure,Neill Blomkamp,"Terri Tatchell, Neill Blomkamp",821.5,13,32,56.0,49000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]"
Chariots of Fire,"Art House & International, Drama, Sports & Fitness",Hugh Hudson,Colin Welland,0,0,84,80.0,5500000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]"
Charlie and the Chocolate Factory,"Comedy, Kids & Family, Science Fiction & Fantasy",Tim Burton,John August,761.6666666666666,8,83,51.0,150000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]"
Charlie Bartlett,Comedy,Jon Poll,Gustin Nash,741.3333333333334,25,57,71.0,12000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]"
Charlie St. Cloud,Drama,Burr Steers,"Lewis Colick, Craig Pearce",567.0,35,27,60.0,44000000,"[{""id"": 18, ""name"": ""Drama""}]"
Charlie Wilson's War,"Comedy, Drama",Mike Nichols,Aaron Sorkin,862.8,35,82,73.0,75000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]"
Charlie's Angels,"Action & Adventure, Comedy",McG,"John August, Ed Solomon, Ryan Rowe",654.2,2,68,45.0,92000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]"
Chasing Amy,"Comedy, Romance",Kevin Smith,Kevin Smith,597.0,86,87,83.0,250000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]"
Chasing Liberty,"Action & Adventure, Comedy, Drama, Romance","Andy Cadiff, Shelly Ziegler","Derek Guiley, David Schneiderman, Lilian Burch",483.0,119,18,60.0,23000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]"
Chasing Mavericks,Drama,"Curtis Hanson, Michael Apted",Kario Salem,561.5,0,32,70.0,0,"[{""id"": 18, ""name"": ""Drama""}]"
Chasing Papi,Comedy,Linda Mendoza,"Elizabeth Sarnoff, Alison Balian, Steve Antin, Laura Angelica Simon",0,0,14,40.0,0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]"
Cheap Thrills,"Comedy, Mystery & Suspense",E.L. Katz,"David Chirchirillo, Trent Haaga",0,268,88,69.0,0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]"
Cheaper by the Dozen,"Comedy, Kids & Family",Shawn Levy,"Sam Harper, Joel Cohen, Alec Sokolow",461.5,0,24,56.0,40000000,"[{""id"": 35, ""name"": ""Comedy""}]"
Cheaper by the Dozen,"Classics, Comedy, Kids & Family",Walter Lang,Lamar Trotti,0,0,80,66.0,40000000,"[{""id"": 35, ""name"": ""Comedy""}]"
Cheaper by the Dozen 2,"Comedy, Kids & Family",Adam Shankman,Sam Harper,576.5,0,6,57.0,60000000,"[{""id"": 35, ""name"": ""Comedy""}]"
Chéri,"Art House & International, Drama, Romance",Stephen Frears,Christopher Hampton,488.0,23,50,40.0,23000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]"
Chernobyl Diaries,"Drama, Horror",Brad Parker,"Oren Peli, Shane Van Dyke, Carey Van Dyke",0,8,19,28.0,0,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]"
Chicago,"Comedy, Drama, Musical & Performing Arts",Rob Marshall,Bill Condon,678.6,86,85,83.0,45000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]"
Chicken Little,"Action & Adventure, Animation, Comedy, Kids & Family",Mark Dindal,"Steve Bencich, Ron J. Friedman, Ron Anderson",0,19,37,47.0,150000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]"
Chicken Run,"Action & Adventure, Animation, Comedy, Drama, Kids & Family","Peter Lord, Nick Park","Jack Rosenthal, Karey Kirkpatrick",536.0,257,97,64.0,45000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]"
Child 44,"Drama, Mystery & Suspense",Daniel Espinosa,Richard Price,828.2,9,27,41.0,50000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]"
Children of Men,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Alfonso Cuarón,"Alfonso Cuarón, Timothy J. Sexton, David Arata, Mark Fergus, Hawk Ostby",771.0,35,92,85.0,76000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]"
Child's Play,"Horror, Mystery & Suspense",Tom Holland,"Don Mancini, Tom Holland, John Lafia",0,17,68,63.0,9000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]"
Child's Play,Horror,Lars Klevberg,Tyler Burton Smith,856.0,269,63,57.0,9000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]"
Child's Play 2,"Horror, Mystery & Suspense",John Lafia,Don Mancini,0,75,44,47.0,13000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}]"
Chill Factor,"Action & Adventure, Mystery & Suspense",Hugh Johnson,"Drew Gitlin, Mike Cheda",0,8,10,30.0,70000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]"
Chocolat,"Comedy, Romance",Lasse Hallstrom,Robert Nelson Jacobs,855.0,23,62,83.0,25000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]"
